trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3735,08:00:00,08:00:00,85,0,,0,0,0.000,1
3735,08:01:00,08:01:00,86,1,,0,0,0.554,0
3735,08:03:00,08:03:00,87,2,,0,0,1.875,0
3735,08:05:00,08:05:00,88,3,,0,0,2.590,0
3735,08:06:00,08:06:00,89,4,,0,0,2.940,1
3735,08:06:00,08:06:00,90,5,,0,0,3.215,0
3735,08:08:00,08:08:00,91,6,,0,0,3.712,0
3735,08:08:00,08:08:00,92,7,,0,0,3.756,0
3735,08:10:00,08:10:00,93,8,,0,0,4.348,0
3735,08:11:00,08:11:00,94,9,,0,0,4.602,1
3735,08:11:00,08:11:00,95,10,,0,0,5.038,0
3735,08:12:00,08:12:00,96,11,,0,0,5.740,0
3735,08:13:00,08:13:00,97,12,,0,0,6.149,0
3735,08:15:00,08:15:00,175,13,,0,0,7.692,0
3735,08:16:00,08:16:00,80,14,,0,0,8.398,0
3735,08:16:00,08:16:00,81,15,,0,0,8.636,0
3735,08:18:00,08:18:00,160,16,,0,0,9.512,1
3735,08:18:00,08:18:00,150,17,,0,0,10.040,0
3735,08:22:00,08:22:00,82,18,,0,0,12.198,0
3735,08:23:00,08:23:00,101,19,,0,0,12.671,0
3735,08:25:00,08:25:00,161,20,,0,0,13.895,1
3735,08:30:00,08:30:00,190,21,,0,0,16.200,0
3735,08:30:00,08:30:00,86,22,,0,0,16.547,0
3735,08:32:00,08:32:00,148,23,,0,0,17.065,1
3783,09:35:00,09:35:00,85,0,,0,0,0.000,1
3783,09:36:00,09:36:00,86,1,,0,0,0.554,0
3783,09:38:00,09:38:00,87,2,,0,0,1.875,0
3783,09:40:00,09:40:00,88,3,,0,0,2.590,0
3783,09:41:00,09:41:00,89,4,,0,0,2.940,1
3783,09:41:00,09:41:00,90,5,,0,0,3.215,0
3783,09:43:00,09:43:00,91,6,,0,0,3.712,0
3783,09:43:00,09:43:00,92,7,,0,0,3.756,0
3783,09:45:00,09:45:00,93,8,,0,0,4.348,0
3783,09:46:00,09:46:00,94,9,,0,0,4.602,1
3783,09:46:00,09:46:00,95,10,,0,0,5.038,0
3783,09:47:00,09:47:00,96,11,,0,0,5.740,0
3783,09:48:00,09:48:00,97,12,,0,0,6.149,0
3783,09:50:00,09:50:00,175,13,,0,0,7.692,0
3783,09:51:00,09:51:00,80,14,,0,0,8.398,0
3783,09:51:00,09:51:00,81,15,,0,0,8.636,0
3783,09:53:00,09:53:00,160,16,,0,0,9.512,1
3783,09:53:00,09:53:00,150,17,,0,0,10.040,0
3783,09:57:00,09:57:00,82,18,,0,0,12.198,0
3783,09:58:00,09:58:00,101,19,,0,0,12.671,0
3783,10:00:00,10:00:00,161,20,,0,0,13.895,1
3783,10:05:00,10:05:00,190,21,,0,0,16.200,0
3783,10:05:00,10:05:00,86,22,,0,0,16.547,0
3783,10:07:00,10:07:00,148,23,,0,0,17.065,1
3831,11:00:00,11:00:00,85,0,,0,0,0.000,1
3831,11:01:00,11:01:00,86,1,,0,0,0.554,0
3831,11:03:00,11:03:00,87,2,,0,0,1.875,0
3831,11:05:00,11:05:00,88,3,,0,0,2.590,0
3831,11:06:00,11:06:00,89,4,,0,0,2.940,1
3831,11:06:00,11:06:00,90,5,,0,0,3.215,0
3831,11:08:00,11:08:00,91,6,,0,0,3.712,0
3831,11:08:00,11:08:00,92,7,,0,0,3.756,0
3831,11:10:00,11:10:00,93,8,,0,0,4.348,0
3831,11:11:00,11:11:00,94,9,,0,0,4.602,1
3831,11:11:00,11:11:00,95,10,,0,0,5.038,0
3831,11:12:00,11:12:00,96,11,,0,0,5.740,0
3831,11:13:00,11:13:00,97,12,,0,0,6.149,0
3831,11:15:00,11:15:00,175,13,,0,0,7.692,0
3831,11:16:00,11:16:00,80,14,,0,0,8.398,0
3831,11:16:00,11:16:00,81,15,,0,0,8.636,0
3831,11:18:00,11:18:00,160,16,,0,0,9.512,1
3831,11:18:00,11:18:00,150,17,,0,0,10.040,0
3831,11:22:00,11:22:00,82,18,,0,0,12.198,0
3831,11:23:00,11:23:00,101,19,,0,0,12.671,0
3831,11:25:00,11:25:00,161,20,,0,0,13.895,1
3831,11:30:00,11:30:00,190,21,,0,0,16.200,0
3831,11:30:00,11:30:00,86,22,,0,0,16.547,0
3831,11:32:00,11:32:00,148,23,,0,0,17.065,1
3879,14:00:00,14:00:00,85,0,,0,0,0.000,1
3879,14:01:00,14:01:00,86,1,,0,0,0.554,0
3879,14:03:00,14:03:00,87,2,,0,0,1.875,0
3879,14:05:00,14:05:00,88,3,,0,0,2.590,0
3879,14:06:00,14:06:00,89,4,,0,0,2.940,1
3879,14:06:00,14:06:00,90,5,,0,0,3.215,0
3879,14:08:00,14:08:00,91,6,,0,0,3.712,0
3879,14:08:00,14:08:00,92,7,,0,0,3.756,0
3879,14:10:00,14:10:00,93,8,,0,0,4.348,0
3879,14:11:00,14:11:00,94,9,,0,0,4.602,1
3879,14:11:00,14:11:00,95,10,,0,0,5.038,0
3879,14:12:00,14:12:00,96,11,,0,0,5.740,0
3879,14:13:00,14:13:00,97,12,,0,0,6.149,0
3879,14:15:00,14:15:00,175,13,,0,0,7.692,0
3879,14:16:00,14:16:00,80,14,,0,0,8.398,0
3879,14:16:00,14:16:00,81,15,,0,0,8.636,0
3879,14:18:00,14:18:00,160,16,,0,0,9.512,1
3879,14:18:00,14:18:00,150,17,,0,0,10.040,0
3879,14:22:00,14:22:00,82,18,,0,0,12.198,0
3879,14:23:00,14:23:00,101,19,,0,0,12.671,0
3879,14:25:00,14:25:00,161,20,,0,0,13.895,1
3879,14:30:00,14:30:00,190,21,,0,0,16.200,0
3879,14:30:00,14:30:00,86,22,,0,0,16.547,0
3879,14:32:00,14:32:00,148,23,,0,0,17.065,1
3928,07:00:00,07:00:00,85,0,,0,0,0.000,1
3928,07:01:00,07:01:00,86,1,,0,0,0.554,0
3928,07:03:00,07:03:00,87,2,,0,0,1.875,0
3928,07:05:00,07:05:00,88,3,,0,0,2.590,0
3928,07:06:00,07:06:00,89,4,,0,0,2.940,1
3928,07:06:00,07:06:00,90,5,,0,0,3.215,0
3928,07:08:00,07:08:00,91,6,,0,0,3.712,0
3928,07:08:00,07:08:00,92,7,,0,0,3.756,0
3928,07:10:00,07:10:00,93,8,,0,0,4.348,0
3928,07:11:00,07:11:00,94,9,,0,0,4.602,1
3928,07:11:00,07:11:00,95,10,,0,0,5.038,0
3928,07:12:00,07:12:00,96,11,,0,0,5.740,0
3928,07:13:00,07:13:00,97,12,,0,0,6.149,0
3928,07:15:00,07:15:00,175,13,,0,0,7.692,0
3928,07:16:00,07:16:00,80,14,,0,0,8.398,0
3928,07:16:00,07:16:00,81,15,,0,0,8.636,0
3928,07:18:00,07:18:00,160,16,,0,0,9.512,1
3928,07:19:00,07:19:00,150,17,,0,0,10.040,0
3928,07:23:00,07:23:00,82,18,,0,0,12.198,0
3928,07:24:00,07:24:00,101,19,,0,0,12.671,0
3928,07:28:00,07:28:00,190,20,,0,0,14.920,0
3928,07:29:00,07:29:00,86,21,,0,0,15.267,0
3928,07:30:00,07:30:00,148,22,,0,0,15.785,1
3974,08:00:00,08:00:00,85,0,,0,0,0.000,1
3974,08:01:00,08:01:00,86,1,,0,0,0.554,0
3974,08:03:00,08:03:00,87,2,,0,0,1.875,0
3974,08:05:00,08:05:00,88,3,,0,0,2.590,0
3974,08:06:00,08:06:00,89,4,,0,0,2.940,1
3974,08:06:00,08:06:00,90,5,,0,0,3.215,0
3974,08:08:00,08:08:00,91,6,,0,0,3.712,0
3974,08:08:00,08:08:00,92,7,,0,0,3.756,0
3974,08:10:00,08:10:00,93,8,,0,0,4.348,0
3974,08:11:00,08:11:00,94,9,,0,0,4.602,1
3974,08:11:00,08:11:00,95,10,,0,0,5.038,0
3974,08:12:00,08:12:00,96,11,,0,0,5.740,0
3974,08:13:00,08:13:00,97,12,,0,0,6.149,0
3974,08:15:00,08:15:00,175,13,,0,0,7.692,0
3974,08:16:00,08:16:00,80,14,,0,0,8.398,0
3974,08:16:00,08:16:00,81,15,,0,0,8.636,0
3974,08:18:00,08:18:00,160,16,,0,0,9.512,1
3974,08:19:00,08:19:00,150,17,,0,0,10.040,0
3974,08:23:00,08:23:00,82,18,,0,0,12.198,0
3974,08:24:00,08:24:00,101,19,,0,0,12.671,0
3974,08:28:00,08:28:00,190,20,,0,0,14.920,0
3974,08:29:00,08:29:00,86,21,,0,0,15.267,0
3974,08:30:00,08:30:00,148,22,,0,0,15.785,1
4020,08:45:00,08:45:00,85,0,,0,0,0.000,1
4020,08:46:00,08:46:00,86,1,,0,0,0.554,0
4020,08:48:00,08:48:00,87,2,,0,0,1.875,0
4020,08:50:00,08:50:00,88,3,,0,0,2.590,0
4020,08:51:00,08:51:00,89,4,,0,0,2.940,1
4020,08:51:00,08:51:00,90,5,,0,0,3.215,0
4020,08:53:00,08:53:00,91,6,,0,0,3.712,0
4020,08:53:00,08:53:00,92,7,,0,0,3.756,0
4020,08:55:00,08:55:00,93,8,,0,0,4.348,0
4020,08:56:00,08:56:00,94,9,,0,0,4.602,1
4020,08:56:00,08:56:00,95,10,,0,0,5.038,0
4020,08:57:00,08:57:00,96,11,,0,0,5.740,0
4020,08:58:00,08:58:00,97,12,,0,0,6.149,0
4020,09:00:00,09:00:00,175,13,,0,0,7.692,0
4020,09:01:00,09:01:00,80,14,,0,0,8.398,0
4020,09:01:00,09:01:00,81,15,,0,0,8.636,0
4020,09:03:00,09:03:00,160,16,,0,0,9.512,1
4020,09:03:00,09:03:00,150,17,,0,0,10.040,0
4020,09:07:00,09:07:00,82,18,,0,0,12.198,0
4020,09:08:00,09:08:00,101,19,,0,0,12.671,0
