stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
78,1087,"Len Kittle Drive",,-23.742994,133.867567,,,,
80,1015,"Power Street",,-23.669003,133.868329,,,,
81,1016,"Power Street",,-23.670801,133.867052,,,,
82,1019,"Stuart Highway",,-23.686401,133.874288,,,,
83,1070,"Shell Gillen",,-23.701547,133.871643,,,,
85,1000,"Alice Springs Interchange",,-23.698894,133.878484,,,,
86,1001,"Post Office",,-23.698598,133.881675,,,,
87,1003,"Stuart Highway",,-23.690099,133.875853,,,,
88,1004,"Tielkens Ave after Hearne Pl",,-23.684924,133.873270,,,,
89,1005,"Priest Street",,-23.683985,133.870776,,,,
90,1006,"Priest Streetr 2",,-23.681518,133.870593,,,,
91,1007,"Madigan Street",,-23.679662,133.873485,,,,
92,1008,"Aldidja Street",,-23.678438,133.873127,,,,
93,1009,"Angguna Avenue",,-23.677332,133.867825,,,,
94,1010,"Dixon Road",,-23.675919,133.866374,,,,
95,1011,"Simounds Street",,-23.674828,133.863289,,,,
96,1012,"Head Street",,-23.678406,133.865926,,,,
97,1013,"Head Street",,-23.680814,133.868611,,,,
101,1020,"Stuart Highway",,-23.690090,133.876109,,,,
102,1071,"Gap Road",,-23.708039,133.878238,,,,
103,1072,"Gap Road",,-23.709774,133.877297,,,,
104,1073,"Gap Road",,-23.713634,133.874694,,,,
105,1075,"Gap Road",,-23.717359,133.871806,,,,
107,1077,"Palm Cct after Bonanni Cct",,-23.729688,133.866454,,,,
108,1078,"Palm Cct after Palm Pl",,-23.733350,133.867950,,,,
109,1079,"Old Timers",,-23.741976,133.868708,,,,
110,1090,"Gap road",,-23.717359,133.871668,,,,
111,1091,"Gap Road",,-23.715624,133.872975,,,,
112,1092,"Gap Road",,-23.713407,133.874704,,,,
113,1093,"Gap Road",,-23.709892,133.877060,,,,
114,1094,"Alice Springs Hospital",,-23.707803,133.878120,,,,
115,1039,"Pedler Avenue",,-23.705929,133.871386,,,,
116,1040,"Milner Road",,-23.706381,133.867575,,,,
118,1041,"Bloomfield Street",,-23.712137,133.869962,,,,
119,1042,"Memorial Avenue",,-23.712334,133.866514,,,,
120,1043,"Flynn Drive",,-23.710389,133.863574,,,,
121,1044,"Flynn Drive",,-23.710786,133.860195,,,,
122,1045,"Flynn Drive",,-23.708466,133.858535,,,,
123,1052,"Larapinta Drive",,-23.700504,133.846873,,,,
124,1055,"Lyndavale Drive",,-23.695476,133.832577,,,,
125,1056,"Lyndavale Drive",,-23.693794,133.834810,,,,
